SMILES,Score,MW,TPSA
<rdkit.Chem.rdchem.Mol object at 0x7ecea8a668e0>,7.758,330.48,58.12
<rdkit.Chem.rdchem.Mol object at 0x7eceb4bc1fd0>,7.548,306.39,58.12
<rdkit.Chem.rdchem.Mol object at 0x7eceb4bc25c0>,7.486,338.86,69.02
<rdkit.Chem.rdchem.Mol object at 0x7ecea8a65030>,7.442,321.43,72.28
<rdkit.Chem.rdchem.Mol object at 0x7ecea8a41850>,7.372,275.35,65.2
<rdkit.Chem.rdchem.Mol object at 0x7ecea89f6890>,7.364,268.34,79.53
<rdkit.Chem.rdchem.Mol object at 0x7ecea8a1f5b0>,7.328,318.47,50.16
<rdkit.Chem.rdchem.Mol object at 0x7ecea8a65e40>,7.274,347.46,88.05
<rdkit.Chem.rdchem.Mol object at 0x7ecea8a1e5c0>,7.272,320.44,67.23
<rdkit.Chem.rdchem.Mol object at 0x7ecea8a67470>,7.266,319.41,65.71
<rdkit.Chem.rdchem.Mol object at 0x7ecea89f4cc0>,7.255,338.41,85.69
<rdkit.Chem.rdchem.Mol object at 0x7ecea8a42430>,7.247,342.4,78.68
<rdkit.Chem.rdchem.Mol object at 0x7ecea8a41030>,7.244,347.44,80.12
<rdkit.Chem.rdchem.Mol object at 0x7ecea8a1df80>,7.225,311.77,80.32
<rdkit.Chem.rdchem.Mol object at 0x7ecea8a1c3b0>,7.212,339.47,66.65
<rdkit.Chem.rdchem.Mol object at 0x7eceb4bc3fb0>,7.207,277.36,47.56
<rdkit.Chem.rdchem.Mol object at 0x7eceb4bc37e0>,7.191,294.38,70.5
<rdkit.Chem.rdchem.Mol object at 0x7ecea8a64e50>,7.159,347.46,87.22
<rdkit.Chem.rdchem.Mol object at 0x7eceb4bc36f0>,7.153,317.43,67.59
<rdkit.Chem.rdchem.Mol object at 0x7ecea8a43740>,7.145,348.49,78.09
<rdkit.Chem.rdchem.Mol object at 0x7ecea8a40680>,7.115,346.41,71.26
<rdkit.Chem.rdchem.Mol object at 0x7ecea8a42e80>,7.114,297.4,70.67
<rdkit.Chem.rdchem.Mol object at 0x7ecea8a67bf0>,7.105,345.43,52.65
<rdkit.Chem.rdchem.Mol object at 0x7eceb4bc2340>,7.102,323.46,75.43
<rdkit.Chem.rdchem.Mol object at 0x7eceb4bc3790>,7.1,323.44,83.02
<rdkit.Chem.rdchem.Mol object at 0x7eceb4bc2c00>,7.079,339.46,71.53
<rdkit.Chem.rdchem.Mol object at 0x7ecea89f4130>,7.078,339.4,75.44
<rdkit.Chem.rdchem.Mol object at 0x7ecea8a667f0>,7.067,318.42,62.47
<rdkit.Chem.rdchem.Mol object at 0x7eceb4bc2ca0>,7.066,346.47,59.59
<rdkit.Chem.rdchem.Mol object at 0x7ecea8a42340>,7.052,320.42,86.8
<rdkit.Chem.rdchem.Mol object at 0x7ecea8a1c130>,7.048,337.42,78.95
<rdkit.Chem.rdchem.Mol object at 0x7ecea89f49a0>,7.035,299.38,81.91
<rdkit.Chem.rdchem.Mol object at 0x7eceb4bc1e90>,7.035,283.37,61.88
<rdkit.Chem.rdchem.Mol object at 0x7ecea8a1c8b0>,7.025,298.35,65.45
<rdkit.Chem.rdchem.Mol object at 0x7ecea8a427f0>,7.024,340.47,65.12
<rdkit.Chem.rdchem.Mol object at 0x7ecea8a64f40>,7.023,330.43,78.09
<rdkit.Chem.rdchem.Mol object at 0x7ecea89f7f60>,7.021,346.41,78.25
<rdkit.Chem.rdchem.Mol object at 0x7eceb4bc3290>,7.017,311.77,82.53
<rdkit.Chem.rdchem.Mol object at 0x7eceb4bc0900>,7.014,298.35,72.12
<rdkit.Chem.rdchem.Mol object at 0x7eceb4bc2ac0>,7.006,334.45,71.26
<rdkit.Chem.rdchem.Mol object at 0x7ecea8a673d0>,7.002,322.41,80.49
