molecule_chembl_id,canonical_smiles,inchi_key,pchembl_value,document_chembl_id
CHEMBL4067228,O=C(Nc1cccnc1)c1cc(Cl)ccc1OCc1ccccc1,AAACBXVBBDAYRQ-UHFFFAOYSA-N,7.8,CHEMBL4052807
CHEMBL3643956,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC2CCC2)ncc1C(F)(F)F,AAFQGUVMCRNVEK-UHFFFAOYSA-N,8.6,CHEMBL3639246
CHEMBL3651762,COc1cc(-c2n[nH]c3ccnc(OC)c23)ccn1,AAJWREVOQDWFCD-UHFFFAOYSA-N,7.1,CHEMBL3638634
CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,AAKJLRGGTJKAMG-UHFFFAOYSA-N,5.43,CHEMBL1908390
CHEMBL5859679,Cc1ccc2[nH]cc(C)c2c1-c1ccc2nc(NC(=O)[C@@H]3C[C@@H]3F)cn2c1,AAQFTGFEIOSNMG-CABCVRRESA-N,6.76,CHEMBL5728679
CHEMBL4457647,O=C(Nc1ccnnc1)c1cc(N2CCOCC2)ccc1OCc1ccccc1,ABAQMTMQQSSUGL-UHFFFAOYSA-N,7.0667,CHEMBL4371037
CHEMBL5747363,CC1(Oc2ccc3[nH]nc(-c4cc(N5CCC6(CC5)CNC(=O)CO6)ncn4)c3c2)CC1,ABEMMPSAXICMBA-UHFFFAOYSA-N,9.05,CHEMBL5725245
CHEMBL5876418,COc1nc(Nc2cc(C3(C)CCOC3=O)nn2C2CC2)ncc1C(F)(F)F,ABFSAPCYDHINPE-UHFFFAOYSA-N,7.35,CHEMBL5726904
CHEMBL3326126,COc1ccc(OC)c(Sc2ccc3nnc(-c4cncs4)n3n2)c1,ABIZBRXTCBQITR-UHFFFAOYSA-N,6.6,CHEMBL3352207
CHEMBL5753712,Cn1nc(C(C)(C)n2nccn2)cc1Nc1ncc(C(F)(F)F)c(NC2CC2)n1,ABMDNYHZQQZUCV-UHFFFAOYSA-N,8.65,CHEMBL5728718
CHEMBL3641902,CNc1nc(Nc2cc(F)c(C(=O)N(C)CC(C)(C)O)cc2OC)ncc1C(F)(F)F,ABUSRTJWVVWPHY-UHFFFAOYSA-N,8.04,CHEMBL3639246
CHEMBL5205763,Cn1cc(-c2nc(C(=O)Nc3cnn(C4CCC4)c3)cs2)cn1,ACDBIJKZXKGOFW-UHFFFAOYSA-N,7.21,CHEMBL5370553
